,stpl_fips,city_name,state_abbr
0,15003,Honolulu,HI
1,107000,Birmingham,AL
2,135896,Hoover,AL
3,137000,Huntsville,AL
4,150000,Mobile,AL
5,151000,Montgomery,AL
6,177256,Tuscaloosa,AL
7,203000,Anchorage,AK
8,404720,Avondale,AZ
9,412000,Chandler,AZ
10,427400,Gilbert,AZ
11,427820,Glendale,AZ
12,446000,Mesa,AZ
13,454050,Peoria,AZ
14,455000,Phoenix,AZ
15,465000,Scottsdale,AZ
16,471510,Surprise,AZ
17,473000,Tempe,AZ
18,477000,Tucson,AZ
19,485540,Yuma,AZ
20,523290,Fayetteville,AR
21,524550,Fort Smith,AR
22,535710,Jonesboro,AR
23,541000,Little Rock,AR
24,566080,Springdale,AR
25,600562,Alameda,CA
26,600884,Alhambra,CA
27,602000,Anaheim,CA
28,602252,Antioch,CA
29,602364,Apple Valley,CA
30,603526,Bakersfield,CA
31,603666,Baldwin Park,CA
32,604982,Bellflower,CA
33,606000,Berkeley,CA
34,608786,Buena Park,CA
35,608954,Burbank,CA
36,611194,Carlsbad,CA
37,611530,Carson,CA
38,613014,Chico,CA
39,613210,Chino,CA
40,613214,Chino Hills,CA
41,613392,Chula Vista,CA
42,613588,Citrus Heights,CA
43,614218,Clovis,CA
44,615044,Compton,CA
45,616000,Concord,CA
46,616350,Corona,CA
47,616532,Costa Mesa,CA
48,617918,Daly City,CA
49,619766,Downey,CA
50,621712,El Cajon,CA
51,622020,Elk Grove,CA
52,622230,El Monte,CA
53,622804,Escondido,CA
54,623182,Fairfield,CA
55,624638,Folsom,CA
56,624680,Fontana,CA
57,626000,Fremont,CA
58,627000,Fresno,CA
59,628000,Fullerton,CA
60,629000,Garden Grove,CA
61,630000,Glendale,CA
62,632548,Hawthorne,CA
63,633000,Hayward,CA
64,633182,Hemet,CA
65,633434,Hesperia,CA
66,636000,Huntington Beach,CA
67,636448,Indio,CA
68,636546,Inglewood,CA
69,636770,Irvine,CA
70,639496,Lake Forest,CA
71,639892,Lakewood,CA
72,640130,Lancaster,CA
73,641992,Livermore,CA
74,643000,Long Beach,CA
75,644000,Los Angeles,CA
76,644574,Lynwood,CA
77,645484,Manteca,CA
78,646842,Menifee,CA
79,646898,Merced,CA
80,647766,Milpitas,CA
81,648256,Mission Viejo,CA
82,648354,Modesto,CA
83,649270,Moreno Valley,CA
84,649670,Mountain View,CA
85,650076,Murrieta,CA
86,650258,Napa,CA
87,651182,Newport Beach,CA
88,652526,Norwalk,CA
89,653000,Oakland,CA
90,653322,Oceanside,CA
91,653896,Ontario,CA
92,653980,Orange,CA
93,654652,Oxnard,CA
94,655156,Palmdale,CA
95,656000,Pasadena,CA
96,656700,Perris,CA
97,657792,Pleasanton,CA
98,658072,Pomona,CA
99,659451,Rancho Cucamonga,CA
100,659920,Redding,CA
101,659962,Redlands,CA
102,660018,Redondo Beach,CA
103,660102,Redwood City,CA
104,660466,Rialto,CA
105,660620,Richmond,CA
106,662000,Riverside,CA
107,662938,Roseville,CA
108,664000,Sacramento,CA
109,664224,Salinas,CA
110,665000,San Bernardino,CA
111,665042,San Buenaventura (Ventura),CA
112,666000,San Diego,CA
113,667000,San Francisco,CA
114,668000,San Jose,CA
115,668084,San Leandro,CA
116,668196,San Marcos,CA
117,668252,San Mateo,CA
118,668378,San Ramon,CA
119,669000,Santa Ana,CA
120,669070,Santa Barbara,CA
121,669084,Santa Clara,CA
122,669088,Santa Clarita,CA
123,669196,Santa Maria,CA
124,670000,Santa Monica,CA
125,670098,Santa Rosa,CA
126,672016,Simi Valley,CA
127,673080,South Gate,CA
128,675000,Stockton,CA
129,677000,Sunnyvale,CA
130,678120,Temecula,CA
131,678582,Thousand Oaks,CA
132,680000,Torrance,CA
133,680238,Tracy,CA
134,680812,Turlock,CA
135,680854,Tustin,CA
136,681204,Union City,CA
137,681344,Upland,CA
138,681554,Vacaville,CA
139,681666,Vallejo,CA
140,682590,Victorville,CA
141,682954,Visalia,CA
142,682996,Vista,CA
143,684200,West Covina,CA
144,684550,Westminster,CA
145,685292,Whittier,CA
146,803455,Arvada,CO
147,804000,Aurora,CO
148,807850,Boulder,CO
149,812815,Centennial,CO
150,816000,Colorado Springs,CO
151,820000,Denver,CO
152,827425,Fort Collins,CO
153,832155,Greeley,CO
154,843000,Lakewood,CO
155,845970,Longmont,CO
156,846465,Loveland,CO
157,862000,Pueblo,CO
158,877290,Thornton,CO
159,883835,Westminster,CO
160,908000,Bridgeport,CT
161,918430,Danbury,CT
162,937000,Hartford,CT
163,950370,New Britain,CT
164,952000,New Haven,CT
165,955990,Norwalk,CT
166,973000,Stamford,CT
167,980000,Waterbury,CT
1344,1077580,Wilmington,DE
1345,1150000,Washington,DC
1346,1207300,Boca Raton,FL
1347,1207875,Boynton Beach,FL
1348,1210275,Cape Coral,FL
1349,1212875,Clearwater,FL
1350,1214400,Coral Springs,FL
1351,1216475,Davie,FL
1352,1216725,Deerfield Beach,FL
1353,1217200,Deltona,FL
1354,1224000,Fort Lauderdale,FL
1355,1225175,Gainesville,FL
1356,1230000,Hialeah,FL
1357,1232000,Hollywood,FL
1358,1235000,Jacksonville,FL
1359,1238250,Lakeland,FL
1360,1239425,Largo,FL
1361,1239550,Lauderhill,FL
1362,1243975,Melbourne,FL
1363,1245000,Miami,FL
1364,1245025,Miami Beach,FL
1365,1245060,Miami Gardens,FL
1366,1245975,Miramar,FL
1367,1253000,Orlando,FL
1368,1254000,Palm Bay,FL
1369,1254200,Palm Coast,FL
1370,1255775,Pembroke Pines,FL
1371,1257425,Plantation,FL
1372,1258050,Pompano Beach,FL
1373,1258715,Port St. Lucie,FL
1374,1263000,St. Petersburg,FL
1375,1269700,Sunrise,FL
1376,1270600,Tallahassee,FL
1377,1271000,Tampa,FL
1378,1276600,West Palm Beach,FL
1379,1301052,Albany,GA
1380,1303440,Athens,GA
1381,1304000,Atlanta,GA
1382,1304204,Augusta,GA
1383,1319000,Columbus,GA
1384,1342425,Johns Creek,GA
1385,1349000,Macon,GA
1386,1367284,Roswell,GA
1387,1368516,Sandy Springs,GA
1388,1369000,Savannah,GA
1389,1380508,Warner Robins,GA
1390,1608830,Boise City,ID
1391,1652120,Meridian,ID
1392,1656260,Nampa,ID
1393,1702154,Arlington Heights,IL
1394,1703012,Aurora,IL
1395,1706613,Bloomington,IL
1396,1707133,Bolingbrook,IL
1397,1712385,Champaign,IL
1398,1714000,Chicago,IL
1399,1714351,Cicero,IL
1400,1718823,Decatur,IL
1401,1723074,Elgin,IL
1402,1724582,Evanston,IL
1403,1738570,Joliet,IL
1404,1751622,Naperville,IL
1405,1757225,Palatine,IL
1406,1759000,Peoria,IL
1407,1765000,Rockford,IL
1408,1768003,Schaumburg,IL
1409,1772000,Springfield,IL
1410,1779293,Waukegan,IL
1411,1805860,Bloomington,IN
1412,1810342,Carmel,IN
1413,1822000,Evansville,IN
1414,1823278,Fishers,IN
1415,1825000,Fort Wayne,IN
1416,1827000,Gary,IN
1417,1831000,Hammond,IN
1418,1836003,Indianapolis,IN
1419,1840788,Lafayette,IN
1420,1851876,Muncie,IN
1421,1871000,South Bend,IN
1422,1912000,Cedar Rapids,IA
1423,1919000,Davenport,IA
1424,1921000,Des Moines,IA
